Categoría,Unidad regional,Nivel,Nivel académico,Programa académico,Cantidad,Año,Periodo
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,164,2007,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,160,2007,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,135,2008,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,153,2008,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,173,2009,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,150,2009,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,142,2010,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,148,2010,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,192,2011,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,123,2011,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,164,2012,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,132,2012,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,118,2013,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,166,2013,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,172,2014,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,152,2014,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,207,2015,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,239,2015,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,261,2016,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,339,2016,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,425,2017,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,312,2017,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,259,2018,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,292,2018,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,264,2019,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,226,2019,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,198,2020,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,85,2020,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,167,2021,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,301,2021,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,152,2022,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,147,2022,IIPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,98,2023,IPA
Inscritos,Chía,Pregrado,Profesional universitario,Administración de empresas,116,2023,IIPA
